,Country,age,Gender,slug,years,date_of_information,ranking,region
103,Monaco,66,Male,monaco,56.2,2023,1,Europe
77,Japan,67,Male,japan,49.5,2023,2,East and Southeast Asia
3,Andorra,75,Male,andorra,48.1,2023,3,Europe
75,Italy,47,Female,italy,48.1,2023,4,Europe
57,Germany,70,Female,germany,46.7,2023,5,Europe
149,Spain,52,Male,spain,46.3,2023,6,Europe
59,Greece,50,Male,greece,46.2,2023,7,Europe
127,Portugal,76,Male,portugal,46,2023,8,Europe
136,San Marino,52,Male,san-marino,45.9,2023,9,Europe
145,Slovenia,72,Male,slovenia,45.9,2023,10,Europe
167,Ukraine,46,Male,ukraine,45.3,2023,11,Europe
85,Latvia,69,Male,latvia,45.2,2023,12,Europe
129,Romania,65,Male,romania,45.1,2023,13,Europe
91,Lithuania,68,Male,lithuania,45,2023,14,Europe
9,Austria,52,Male,austria,44.8,2023,15,Europe
37,Croatia,58,Male,croatia,44.8,2023,16,Europe
24,Bulgaria,61,Male,bulgaria,44.7,2023,17,Europe
48,Estonia,51,Female,estonia,44.7,2023,18,Europe
67,Hungary,47,Female,hungary,44.5,2023,19,Europe
20,Bosnia and Herzegovina,65,Male,bosnia-and-herzegovina,44.4,2023,20,Europe
90,Liechtenstein,79,Male,liechtenstein,44.1,2023,21,Europe
154,Switzerland,63,Male,switzerland,44,2023,22,Europe
139,Serbia,54,Male,serbia,43.7,2023,23,Europe
52,Finland,76,Female,finland,43.2,2023,24,Europe
98,Malta,66,Female,malta,43.2,2023,25,Europe
144,Slovakia,51,Female,slovakia,42.5,2023,26,Europe
29,Canada,53,Male,canada,42.4,2023,27,North America
53,France,47,Male,france,42.4,2023,28,Europe
126,Poland,52,Male,poland,42.4,2023,29,Europe
38,Cuba,64,Male,cuba,42.3,2023,30,Central America and the Caribbean
112,Netherlands,57,Male,netherlands,42.2,2023,31,Europe
15,Belgium,64,Male,belgium,41.9,2023,32,Europe
14,Belarus,70,Male,belarus,41.7,2023,33,Europe
130,Russia,72,Male,russia,41.5,2023,34,Central Asia
143,Sint Maarten,56,Female,sint-maarten,41.1,2023,35,Central America and the Caribbean
13,Barbados,75,Female,barbados,41,2023,36,Central America and the Caribbean
153,Sweden,57,Female,sweden,41,2023,37,Europe
159,Thailand,86,Male,thailand,41,2023,38,East and Southeast Asia
157,Taiwan,67,Female,taiwan,40.8,2023,39,East and Southeast Asia
105,Montenegro,62,Male,montenegro,40.7,2023,40,Europe
117,Norway,63,Male,norway,40.6,2023,41,Europe
169,United Kingdom,44,Male,united-kingdom,40.6,2023,42,Europe
33,China,71,Male,china,39.8,2023,43,East and Southeast Asia
73,Ireland,83,Male,ireland,39.8,2023,44,Europe
92,Luxembourg,61,Male,luxembourg,39.8,2023,45,Europe
102,Moldova,52,Female,moldova,39.4,2023,46,Europe
40,Cyprus,78,Male,cyprus,39.1,2023,47,Europe
133,Saint Lucia,70,Female,saint-lucia,39,2023,48,Central America and the Caribbean
142,Singapore,90,Male,singapore,38.9,2023,49,East and Southeast Asia
170,United States,82,Male,united-states,38.5,2020,50,North America
7,Armenia,65,Male,armenia,38.3,2023,51,Middle East
140,Seychelles,63,Male,seychelles,38.2,2023,52,Africa
132,Saint Kitts and Nevis,48,Male,saint-kitts-and-nevis,38.1,2023,53,Central America and the Caribbean
56,Georgia,72,Female,georgia,38,2023,54,Middle East
162,Trinidad and Tobago,66,Female,trinidad-and-tobago,38,2023,55,Central America and the Caribbean
8,Australia,71,Male,australia,37.9,2023,56,Australia and Oceania
68,Iceland,56,Male,iceland,37.8,2023,57,Europe
113,New Zealand,44,Female,new-zealand,37.7,2023,58,Australia and Oceania
39,Curacao,53,Male,curacao,37.5,2023,59,Central America and the Caribbean
134,Saint Vincent and the Grenadines,78,Male,saint-vincent-and-the-grenadines,37,2023,60,Central America and the Caribbean
50,Faroe Islands,60,Male,faroe-islands,36.8,2023,61,Europe
32,Chile,38,Male,chile,36.6,2023,62,South America
42,Dominica,76,Male,dominica,36.5,2023,63,Central America and the Caribbean
171,Uruguay,51,Male,uruguay,36.2,2023,64,South America
1,Albania,57,Male,albania,35.8,2023,65,Europe
86,Lebanon,76,Male,lebanon,35.8,2023,66,Middle East
168,United Arab Emirates,63,Male,united-arab-emirates,35.7,2023,67,Middle East
36,Costa Rica,63,Male,costa-rica,35,2023,68,Central America and the Caribbean
60,Grenada,79,Male,grenada,35,2023,69,Central America and the Caribbean
120,Palau,56,Male,palau,35,2023,70,Australia and Oceania
54,French Polynesia,75,Male,french-polynesia,34.8,2023,71,Australia and Oceania
22,Brazil,69,Male,brazil,34.7,2023,72,South America
128,Qatar,44,Male,qatar,34.2,2023,73,Middle East
163,Tunisia,66,Male,tunisia,34,2023,74,Africa
150,Sri Lanka,75,Male,sri-lanka,33.9,2023,75,South Asia
10,Azerbaijan,63,Male,azerbaijan,33.8,2023,76,Middle East
5,Antigua and Barbuda,80,Male,antigua-and-barbuda,33.6,2023,77,Central America and the Caribbean
11,Bahrain,74,Male,bahrain,33.3,2023,78,Middle East
71,Iran,85,Male,iran,33.3,2023,79,Middle East
6,Argentina,65,Male,argentina,33,2023,80,South America
175,Vietnam,80,Male,vietnam,32.7,2023,81,East and Southeast Asia
34,Colombia,64,Male,colombia,32.4,2023,82,South America
23,Brunei,78,Male,brunei,32,2023,83,East and Southeast Asia
137,Saudi Arabia,100,Male,saudi-arabia,32,2023,84,Middle East
79,Kazakhstan,71,Male,kazakhstan,31.7,2023,85,Central Asia
81,Kosovo,42,Female,kosovo,31.7,2023,86,Europe
152,Suriname,79,Male,suriname,31.6,2023,87,South America
95,Malaysia,99,Male,malaysia,31.4,2023,88,East and Southeast Asia
96,Maldives,60,Male,maldives,31.3,2023,89,South Asia
123,Paraguay,53,Male,paraguay,31.3,2023,90,South America
51,Fiji,70,Male,fiji,31.2,2023,91,Australia and Oceania
70,Indonesia,63,Male,indonesia,31.2,2023,92,East and Southeast Asia
104,Mongolia,56,Male,mongolia,31.2,2023,93,East and Southeast Asia
121,Panama,71,Male,panama,31.2,2023,94,Central America and the Caribbean
174,Venezuela,62,Male,venezuela,30.8,2023,95,South America
164,Turkmenistan,43,Male,turkmenistan,30.7,2023,96,Central Asia
101,Mexico,71,Male,mexico,30.6,2023,97,North America
76,Jamaica,79,Male,jamaica,30.5,2023,98,Central America and the Caribbean
18,Bhutan,44,Male,bhutan,30.2,2023,99,South Asia
106,Morocco,63,Male,morocco,30.2,2023,100,Africa
74,Israel,52,Male,israel,30.1,2023,101,Middle East
82,Kuwait,87,Male,kuwait,30.1,2023,102,Middle East
124,Peru,55,Male,peru,30.1,2023,103,South America
148,South Africa,72,Male,south-africa,30.1,2023,104,Africa
69,India,74,Male,india,29.5,2023,105,South Asia
12,Bangladesh,75,Male,bangladesh,29.2,2023,106,South Asia
45,El Salvador,43,Male,el-salvador,29.2,2023,107,Central America and the Caribbean
2,Algeria,79,Male,algeria,28.9,2023,108,Africa
43,Dominican Republic,57,Male,dominican-republic,28.9,2023,109,Central America and the Caribbean
172,Uzbekistan,86,Male,uzbekistan,28.7,2023,110,Central Asia
114,Nicaragua,79,Male,nicaragua,28.5,2023,111,Central America and the Caribbean
83,Kyrgyzstan,56,Male,kyrgyzstan,28.1,2023,112,Central Asia
64,Guyana,44,Male,guyana,27.9,2023,113,South America
27,Cambodia,71,Male,cambodia,27.6,2023,114,East and Southeast Asia
109,Nauru,52,Male,nauru,27.5,2023,115,Australia and Oceania
165,Tuvalu,68,Male,tuvalu,27.5,2023,116,Australia and Oceania
110,Nepal,80,Male,nepal,27.1,2023,117,South Asia
111,Nepal,80,Male,nepal,27.1,2023,118,South Asia
118,Oman,69,Male,oman,27.1,2023,119,Middle East
135,Samoa,67,Male,samoa,26.9,2023,120,Australia and Oceania
21,Botswana,63,Male,botswana,26.8,2023,121,Africa
16,Belize,73,Male,belize,26.4,2023,122,Central America and the Caribbean
19,Bolivia,61,Male,bolivia,26.2,2023,123,South America
89,Libya,82,Male,libya,26.1,2023,124,Africa
41,Djibouti,77,Male,djibouti,26,2023,125,Africa
125,Philippines,67,Male,philippines,25.4,2023,126,East and Southeast Asia
161,Tonga,80,Male,tonga,25.4,2023,127,Australia and Oceania
66,Honduras,65,Female,honduras,25.3,2023,128,Central America and the Caribbean
99,Marshall Islands,73,Male,marshall-islands,25.1,2023,129,Australia and Oceania
84,Laos,79,Male,laos,25,2023,130,East and Southeast Asia
146,Solomon Islands,69,Male,solomon-islands,24.8,2023,131,Australia and Oceania
65,Haiti,75,Male,haiti,24.7,2023,132,Central America and the Caribbean
78,Jordan,62,Male,jordan,24.6,2023,133,Middle East
61,Guatemala,68,Male,guatemala,24.4,2023,134,Central America and the Caribbean
173,Vanuatu,70,Male,vanuatu,24.2,2023,135,Australia and Oceania
44,Egypt,70,Male,egypt,24.1,2023,136,Africa
155,Syria,59,Male,syria,23.9,2023,137,Middle East
87,Lesotho,61,Male,lesotho,23.7,2023,138,Africa
119,Pakistan,75,Male,pakistan,22.7,2023,139,South Asia
156,Tajikistan,72,Male,tajikistan,22.7,2023,140,Central Asia
108,Namibia,83,Male,namibia,22.5,2023,141,Africa
35,Comoros,65,Male,comoros,22.3,2023,142,Africa
72,Iraq,64,Male,iraq,22.1,2023,143,Middle East
46,Equatorial Guinea,82,Male,equatorial-guinea,21.9,2023,144,Africa
100,Mauritania,68,Male,mauritania,21.9,2023,145,Africa
55,Gabon,89,Male,gabon,21.8,2023,146,Africa
122,Papua New Guinea,60,Male,papua-new-guinea,21.6,2023,147,East and Southeast Asia
176,Yemen,79,Male,yemen,21.6,2023,148,Middle East
58,Ghana,80,Male,ghana,21.3,2023,149,Africa
47,Eritrea,78,Male,eritrea,21,2023,150,Africa
93,Madagascar,50,Male,madagascar,21,2023,151,Africa
178,Zimbabwe,82,Male,zimbabwe,21,2023,152,Africa
80,Kenya,58,Male,kenya,20.9,2023,153,Africa
131,Rwanda,67,Male,rwanda,20.5,2023,154,Africa
160,Togo,58,Male,togo,20.5,2023,155,Africa
30,Central African Republic,67,Male,central-african-republic,20.2,2023,156,Africa
49,Ethiopia,48,Male,ethiopia,20.2,2023,157,Africa
94,Malawi,69,Male,malawi,20,2023,158,Africa
0,Afghanistan,75,Male,afghanistan,19.9,2023,159,South Asia
88,Liberia,58,Male,liberia,19.7,2023,160,Africa
62,Guinea,44,Male,guinea,19.3,2023,161,Africa
116,Nigeria,82,Male,nigeria,19.2,2023,162,Africa
141,Sierra Leone,60,Male,sierra-leone,19.2,2023,163,Africa
151,Sudan,73,Male,sudan,19.1,2023,164,Africa
138,Senegal,63,Male,senegal,19,2023,165,Africa
147,Somalia,69,Male,somalia,19,2023,166,Africa
158,Tanzania,64,Female,tanzania,18.9,2023,167,Africa
28,Cameroon,91,Male,cameroon,18.8,2023,168,Africa
25,Burkina Faso,43,Male,burkina-faso,18.5,2023,169,Africa
63,Guinea-Bissau,52,Male,guinea-bissau,18.3,2023,170,Africa
26,Burundi,56,Male,burundi,18.2,2023,171,Africa
177,Zambia,62,Male,zambia,18.2,2023,172,Africa
107,Mozambique,65,Male,mozambique,17.2,2023,173,Africa
17,Benin,66,Male,benin,17.1,2023,174,Africa
31,Chad,40,Male,chad,16.5,2023,175,Africa
97,Mali,41,Male,mali,16.3,2023,176,Africa
4,Angola,70,Male,angola,16.2,2023,177,Africa
166,Uganda,80,Male,uganda,16.1,2023,178,Africa
115,Niger,72,Male,niger,15.1,2023,179,Africa
